127.0.0.1 - - [22/Sep/2023:09:07:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:07:21 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:08:33 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:08:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:10:26 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:10:27 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:10:45 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:10:45 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:11 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:14:28 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:14:33 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:14:34 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:16:11 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:16:22 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:16:23 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:18:38 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:17 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:21:14 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:22:13 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:23:03 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:23:26 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:24:50 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:25:02 +0900] "GET /client/html/ex20.html HTTP/1.1" 304 -
